batch_id,timestamp_min,EC_uScm,turbidity_NTU,UV254_abs,pH,ORP_mV,flow_Lmin,pressure_drop_kPa,headloss_kPa_per_m,bed_inlet_pressure_kPa,bed_outlet_pressure_kPa
TS005,5,2992.5,38.6,0.85,7.75,512.0,1.1,6.675,8.34,105.3,98.7
TS005,10,2995.0,38.2,0.85,7.75,512.0,1.1,6.75,8.43,105.3,98.7
TS005,15,2997.5,37.8,0.85,7.75,512.0,1.1,6.825,8.52,105.3,98.7
TS005,20,3000.0,37.4,0.85,7.75,512.0,1.1,6.9,8.61,105.3,98.7
TS006,0,2990.0,39.0,0.85,7.75,512.0,1.1,6.6,8.25,105.3,98.7
TS006,5,2992.5,38.6,0.85,7.75,512.0,1.1,6.675,8.34,105.3,98.7
TS006,10,2995.0,38.2,0.85,7.75,512.0,1.1,6.75,8.43,105.3,98.7
TS006,15,2997.5,37.8,0.85,7.75,512.0,1.1,6.825,8.52,105.3,98.7
TS006,20,3000.0,37.4,0.85,7.75,512.0,1.1,6.9,8.61,105.3,98.7
TS007,0,1100.0,7.0,0.3,7.1,635.0,1.1,3.4,4.25,103.7,100.3
TS007,5,1102.5,6.6,0.3,7.1,635.0,1.1,3.475,4.34,103.7,100.3
TS007,10,1105.0,6.2,0.3,7.1,635.0,1.1,3.55,4.43,103.7,100.3
TS007,15,1107.5,5.8,0.3,7.1,635.0,1.1,3.625,4.52,103.7,100.3
TS007,20,1110.0,5.4,0.3,7.1,635.0,1.1,3.7,4.61,103.7,100.3
TS008,0,1100.0,7.0,0.3,7.1,635.0,1.1,3.4,4.25,103.7,100.3
TS008,5,1102.5,6.6,0.3,7.1,635.0,1.1,3.475,4.34,103.7,100.3
TS008,10,1105.0,6.2,0.3,7.1,635.0,1.1,3.55,4.43,103.7,100.3
TS008,15,1107.5,5.8,0.3,7.1,635.0,1.1,3.625,4.52,103.7,100.3
TS008,20,1110.0,5.4,0.3,7.1,635.0,1.1,3.7,4.61,103.7,100.3
TS009,0,1280.0,19.0,0.82,7.1,278.0,1.1,4.4,5.5,104.2,99.8
TS009,5,1282.5,18.6,0.82,7.1,278.0,1.1,4.475,5.59,104.2,99.8
TS009,10,1285.0,18.2,0.82,7.1,278.0,1.1,4.55,5.68,104.2,99.8
TS009,15,1287.5,17.8,0.82,7.1,278.0,1.1,4.625,5.77,104.2,99.8
TS009,20,1290.0,17.4,0.82,7.1,278.0,1.1,4.7,5.86,104.2,99.8
TS010,0,1280.0,19.0,0.82,7.1,278.0,1.1,4.4,5.5,104.2,99.8
TS010,5,1282.5,18.6,0.82,7.1,278.0,1.1,4.475,5.59,104.2,99.8
TS010,10,1285.0,18.2,0.82,7.1,278.0,1.1,4.55,5.68,104.2,99.8
TS010,15,1287.5,17.8,0.82,7.1,278.0,1.1,4.625,5.77,104.2,99.8
TS010,20,1290.0,17.4,0.82,7.1,278.0,1.1,4.7,5.86,104.2,99.8
TS011,0,1680.0,24.0,0.62,7.4,390.0,1.1,6.1,7.65,105.05,98.95
TS011,5,1682.5,23.6,0.62,7.4,390.0,1.1,6.175,7.74,105.05,98.95
TS011,10,1685.0,23.2,0.62,7.4,390.0,1.1,6.25,7.83,105.05,98.95
TS011,15,1687.5,22.8,0.62,7.4,390.0,1.1,6.325,7.92,105.05,98.95
TS011,20,1690.0,22.4,0.62,7.4,390.0,1.1,6.4,8.01,105.05,98.95
TS012,0,1100.0,7.0,0.3,7.1,635.0,1.1,3.4,4.25,103.7,100.3
TS012,5,1102.5,6.6,0.3,7.1,635.0,1.1,3.475,4.34,103.7,100.3
TS012,10,1105.0,6.2,0.3,7.1,635.0,1.1,3.55,4.43,103.7,100.3
TS012,15,1107.5,5.8,0.3,7.1,635.0,1.1,3.625,4.52,103.7,100.3
TS012,20,1110.0,5.4,0.3,7.1,635.0,1.1,3.7,4.61,103.7,100.3
